attempt_number,submission_time,runtime_ms,score
2,2026-02-02T15:54:55.721979-08:00,-1,95
1,2026-02-02T15:57:37.335806-08:00,14.5,95
1,2026-02-02T16:02:59.424517-08:00,7.92,95
1,2026-02-02T15:04:11.742347-08:00,15.93,90
2,2026-02-02T16:05:36.505489-08:00,-1,95
1,2026-02-02T17:00:21.065046-08:00,8.58,95
1,2026-02-02T17:00:24.437390-08:00,14.16,95
1,2026-02-02T15:34:30.353434-08:00,,60.4545
2,2026-02-02T17:08:40.835970-08:00,12.75,95
1,2026-02-02T17:14:17.240550-08:00,6.85,95
1,2026-02-02T13:23:55.421714-08:00,,0
2,2026-02-02T15:08:55.596962-08:00,,0
3,2026-02-02T17:43:25.680316-08:00,12,95
1,2026-02-02T17:54:13.832806-08:00,14.63,95
1,2026-02-02T17:55:11.627063-08:00,14.12,95
1,2026-02-02T18:14:47.838758-08:00,-1,95
1,2026-02-02T15:20:11.891039-08:00,,17.2727
2,2026-02-02T16:23:29.412343-08:00,,90
3,2026-02-02T17:30:42.066656-08:00,-1,90
4,2026-02-02T18:56:23.738315-08:00,-1,90
1,2026-02-02T19:03:45.258755-08:00,14.48,95
1,2026-02-02T19:07:00.762901-08:00,14.53,95
1,2026-02-02T17:09:34.422733-08:00,,8.6364
2,2026-02-02T18:21:20.481027-08:00,,0
3,2026-02-02T19:25:45.281864-08:00,37.03,90
1,2026-02-02T19:46:26.320389-08:00,14.69,95
1,2026-02-02T19:46:54.419892-08:00,36.51,90
1,2026-02-02T19:57:26.570447-08:00,-1,90
1,2026-02-02T20:11:38.321394-08:00,14.54,95
1,2026-02-02T19:15:22.437207-08:00,,0
2,2026-02-02T20:16:16.004578-08:00,14.7,95
1,2026-02-02T17:09:19.868081-08:00,41.52,85
2,2026-02-02T17:30:19.785585-08:00,41.52,85
3,2026-02-02T18:10:22.903091-08:00,41.52,85
4,2026-02-02T19:15:41.538870-08:00,-1,90
5,2026-02-02T20:25:45.573633-08:00,10.04,95
1,2026-02-02T20:47:39.164546-08:00,14.96,95
1,2026-02-02T13:17:42.719829-08:00,-1,95
2,2026-02-02T19:05:51.647491-08:00,-1,95
3,2026-02-02T21:56:29.607390-08:00,-1,95
1,2026-02-02T11:57:17.796078-08:00,,51.8182
2,2026-02-02T13:02:55.812478-08:00,,51.8182
3,2026-02-02T15:32:07.853674-08:00,18.97,90
4,2026-02-02T22:05:59.375174-08:00,14.96,95
1,2026-02-02T22:30:46.588401-08:00,-1,95
1,2026-02-02T22:31:36.414608-08:00,-1,95
1,2026-02-02T20:27:22.164052-08:00,14.73,95
2,2026-02-02T22:37:16.444020-08:00,14.71,95
1,2026-02-02T22:39:02.354082-08:00,17.08,90
1,2026-02-02T21:41:53.578880-08:00,,51.8182
2,2026-02-02T22:42:01.587808-08:00,14.99,95
1,2026-02-02T22:56:21.307552-08:00,14.55,95
1,2026-02-02T23:13:56.680658-08:00,14.7,95
1,2026-02-02T21:42:16.043417-08:00,35.36,90
2,2026-02-02T23:24:46.043368-08:00,19.55,90
1,2026-02-02T23:49:36.510657-08:00,-1,95
1,2026-02-03T00:04:23.270550-08:00,18.54,90
1,2026-02-02T15:33:31.315865-08:00,31.91,90
2,2026-02-03T01:03:10.352343-08:00,-1,95
1,2026-02-03T04:57:05.433309-08:00,20.39,90
1,2026-02-03T05:34:29.694252-08:00,10.78,95
1,2026-02-03T08:14:38.034348-08:00,11.24,95
1,2026-02-03T08:53:15.143558-08:00,13.08,95
1,2026-02-02T23:02:04.243901-08:00,,60.4545
2,2026-02-02T23:32:32.488583-08:00,,60.4545
3,2026-02-03T00:37:11.953561-08:00,,0
4,2026-02-03T01:38:18.639155-08:00,,0
5,2026-02-03T09:35:45.083034-08:00,-1,95
1,2026-02-03T09:39:12.378690-08:00,14.21,95
1,2026-02-02T22:06:11.738489-08:00,,51.8182
2,2026-02-03T10:01:02.008389-08:00,-1,95
1,2026-02-02T16:46:27.968525-08:00,,95
2,2026-02-02T17:27:00.407808-08:00,,95
3,2026-02-02T18:02:53.116338-08:00,,0
4,2026-02-03T10:59:11.968446-08:00,-1,95
1,2026-02-02T09:39:54.901207-08:00,,0
2,2026-02-02T11:08:19.128047-08:00,,0
3,2026-02-02T13:55:26.991524-08:00,,0
4,2026-02-03T00:23:13.499332-08:00,,0
5,2026-02-03T00:47:04.996061-08:00,,0
6,2026-02-03T01:40:39.086020-08:00,,0
7,2026-02-03T01:51:29.795047-08:00,,0
8,2026-02-03T08:52:44.789776-08:00,,0
9,2026-02-03T09:24:25.170338-08:00,,0
10,2026-02-03T11:10:53.815275-08:00,-1,95
1,2026-02-02T23:28:05.051399-08:00,,25.9091
2,2026-02-02T23:52:07.671956-08:00,,25.9091
3,2026-02-03T00:33:34.891212-08:00,,25.9091
4,2026-02-03T03:14:00.797873-08:00,,0
5,2026-02-03T11:12:19.732754-08:00,-1,95
1,2026-02-03T10:22:35.050257-08:00,,0
2,2026-02-03T11:25:31.009735-08:00,14.53,95
1,2026-02-03T10:57:48.219745-08:00,41.4,85
2,2026-02-03T11:06:54.633770-08:00,41.4,85
3,2026-02-03T11:39:02.078827-08:00,41.46,85
1,2026-02-03T10:57:14.239566-08:00,,0
2,2026-02-03T11:46:05.770565-08:00,39.58,90
1,2026-02-02T10:36:50.951944-08:00,,51.8182
2,2026-02-02T12:03:26.124918-08:00,14.52,95
3,2026-02-03T11:47:04.426243-08:00,-1,95
1,2026-02-03T10:29:27.037229-08:00,,0
2,2026-02-03T11:47:19.966240-08:00,73.21,0
1,2026-02-03T11:50:49.920318-08:00,-1,95
1,2026-01-29T18:22:40.537668-08:00,-1,85
2,2026-01-29T18:42:09.534126-08:00,,0
3,2026-02-02T02:50:41.706366-08:00,41.28,85
4,2026-02-03T08:15:13.378660-08:00,-1,0
5,2026-02-03T08:19:39.642392-08:00,,0
6,2026-02-03T11:52:37.865913-08:00,84.34,0
1,2026-02-03T11:21:11.844761-08:00,14.54,95
2,2026-02-03T11:53:02.673509-08:00,14.47,95
1,2026-02-02T15:35:07.934307-08:00,41.27,85
2,2026-02-03T12:45:34.521380-08:00,37.86,90
1,2026-02-03T00:49:23.926180-08:00,28.9,90
2,2026-02-03T12:41:54.929103-08:00,14.26,51.82
3,2026-02-03T12:58:02.099905-08:00,14.76,95
1,2026-02-03T13:01:53.736857-08:00,9.39,95
1,2026-02-03T11:43:50.337738-08:00,-1,51.82
2,2026-02-03T13:08:48.644618-08:00,-1,95
1,2026-02-02T15:59:59.216809-08:00,,86.3636
2,2026-02-02T16:08:46.455558-08:00,,86.3636
3,2026-02-02T17:22:57.698542-08:00,,0
4,2026-02-02T18:16:44.672483-08:00,,0
5,2026-02-03T11:14:22.926931-08:00,18.48,90
6,2026-02-03T13:34:09.276726-08:00,14.83,95
1,2026-02-02T10:07:53.500761-08:00,-1,90
2,2026-02-03T11:53:43.526130-08:00,-1,-8.64
3,2026-02-03T12:02:27.272944-08:00,-1,0
4,2026-02-03T14:29:54.814822-08:00,-1,90
1,2026-02-03T13:42:15.333331-08:00,29.47,38.18
2,2026-02-03T13:43:28.400387-08:00,,0
3,2026-02-03T14:52:23.047747-08:00,19.71,90
4,2026-02-04T22:14:34.014714-08:00,-1,3.64
1,2026-02-03T15:26:58.494415-08:00,-1,95
1,2026-02-03T15:32:45.884193-08:00,14.55,95
1,2026-02-02T10:12:51.388667-08:00,19.54,90
2,2026-02-02T17:37:44.406846-08:00,,0
3,2026-02-02T18:39:44.297770-08:00,-1,90
4,2026-02-02T23:11:09.721539-08:00,-1,90
5,2026-02-03T11:58:40.377622-08:00,-1,90
6,2026-02-03T14:13:58.747235-08:00,14.46,95
7,2026-02-03T15:58:28.041754-08:00,6.12,95
1,2026-02-03T15:59:17.618002-08:00,14.5,95
1,2026-02-03T16:03:32.543930-08:00,31.85,90
1,2026-02-03T13:40:14.903877-08:00,,0
2,2026-02-03T14:30:41.038678-08:00,14.41,25.91
3,2026-02-03T16:06:45.206845-08:00,14.55,95
1,2026-02-03T16:07:05.420422-08:00,19.61,90
1,2026-02-02T14:58:09.257658-08:00,-1,90
2,2026-02-02T20:42:37.981761-08:00,,0
3,2026-02-02T21:05:16.801594-08:00,,0
4,2026-02-02T22:08:40.761733-08:00,-1,3.64
5,2026-02-03T14:26:44.596163-08:00,-1,95
6,2026-02-03T16:08:59.648558-08:00,-1,95
1,2026-02-02T18:55:19.578647-08:00,40.97,85
2,2026-02-02T21:36:29.554486-08:00,24.56,90
3,2026-02-03T16:09:13.718261-08:00,14.74,95
1,2026-02-03T16:14:39.040235-08:00,14.7,95
1,2026-02-03T16:25:48.746728-08:00,14.5,95
1,2026-02-03T16:32:10.425317-08:00,13.78,95
1,2026-02-02T19:16:14.926099-08:00,,0
2,2026-02-03T16:49:05.599206-08:00,-1,95
1,2026-02-03T17:11:14.624994-08:00,11.6,95
1,2026-02-03T13:24:09.410077-08:00,15.09,90
2,2026-02-03T14:59:19.496440-08:00,,0
3,2026-02-03T16:09:46.207863-08:00,13.05,51.82
4,2026-02-03T17:12:46.997089-08:00,13.76,95
1,2026-02-03T14:25:59.410179-08:00,,0
2,2026-02-03T17:28:48.084241-08:00,13.46,95
1,2026-02-02T21:18:42.807611-08:00,41.2,85
2,2026-02-02T22:25:52.230469-08:00,36.71,90
3,2026-02-03T18:03:03.095631-08:00,14.54,95
1,2026-02-03T18:26:38.314520-08:00,36.02,90
1,2026-02-03T18:31:33.477081-08:00,14.59,95
1,2026-02-03T18:33:58.149064-08:00,14.77,95
1,2026-02-03T18:46:14.376358-08:00,-1,95
1,2026-02-03T13:46:28.300289-08:00,20.74,90
2,2026-02-03T19:28:41.791646-08:00,-1,95
1,2026-02-02T22:19:49.213159-08:00,40.72,33.18
2,2026-02-03T19:44:59.430055-08:00,13.59,95
1,2026-02-03T18:47:35.291502-08:00,-1,0
2,2026-02-03T19:51:21.252024-08:00,-1,95
1,2026-02-03T20:08:08.826327-08:00,-1,90
1,2026-02-03T16:43:04.435538-08:00,-1,85
2,2026-02-03T20:08:44.156115-08:00,-1,95
3,2026-02-04T18:35:08.258122-08:00,13.78,95
1,2026-02-02T17:55:46.901231-08:00,,85
2,2026-02-02T18:40:17.018602-08:00,,85
3,2026-02-03T10:56:52.002796-08:00,-1,85
4,2026-02-03T16:03:30.297432-08:00,-1,0
5,2026-02-03T20:14:54.655432-08:00,-1,90
1,2026-02-03T20:23:03.268736-08:00,10.55,95
1,2026-02-02T12:21:29.556788-08:00,,0
2,2026-02-02T14:44:09.527393-08:00,,0
3,2026-02-03T13:40:50.174732-08:00,,0
4,2026-02-03T20:23:13.632387-08:00,31.63,90
1,2026-02-03T19:48:04.153749-08:00,13.69,95
2,2026-02-03T20:26:26.242884-08:00,13.76,95
1,2026-02-03T17:02:14.454571-08:00,41.34,85
2,2026-02-03T20:39:13.951792-08:00,18.94,90
1,2026-02-03T18:51:11.026679-08:00,-1,0
2,2026-02-03T19:00:04.214390-08:00,41.3,85
3,2026-02-03T20:07:34.812839-08:00,57.5,0
4,2026-02-03T20:14:04.935596-08:00,71.85,0
5,2026-02-03T20:37:26.836340-08:00,125.15,0
6,2026-02-03T20:54:54.721432-08:00,40.72,85
7,2026-02-03T21:01:08.234914-08:00,31.82,90
8,2026-02-03T21:07:37.332015-08:00,81.82,0
1,2026-02-02T20:41:09.186850-08:00,26.66,90
2,2026-02-03T21:11:14.091140-08:00,20.02,90
1,2026-02-03T18:53:45.679915-08:00,-1,90
2,2026-02-03T19:57:19.814039-08:00,-1,90
3,2026-02-03T21:24:31.115666-08:00,14.09,95
1,2026-02-03T02:18:54.120350-08:00,,0
2,2026-02-03T10:19:05.887361-08:00,-1,90
3,2026-02-03T15:43:44.817286-08:00,10.37,51.82
4,2026-02-03T16:24:34.347469-08:00,10.36,95
5,2026-02-03T19:27:47.962607-08:00,7.82,17.27
6,2026-02-03T21:38:43.258587-08:00,-1,95
1,2026-02-03T09:06:03.798804-08:00,41.34,85
2,2026-02-03T15:28:11.952209-08:00,41.51,85
3,2026-02-03T16:30:14.050647-08:00,17.84,90
4,2026-02-03T21:52:29.244636-08:00,18.03,90
1,2026-02-03T21:58:16.660544-08:00,14.61,95
1,2026-02-03T21:42:28.329088-08:00,26.92,90
2,2026-02-03T22:00:00.810482-08:00,13.14,95
1,2026-02-03T21:43:53.719519-08:00,-1,90
2,2026-02-03T21:50:15.301407-08:00,16.66,90
3,2026-02-03T22:06:51.100729-08:00,8.91,95
1,2026-02-02T19:34:51.498534-08:00,41.31,85
2,2026-02-03T10:16:39.427548-08:00,,0
3,2026-02-03T11:40:14.603977-08:00,43.79,0
4,2026-02-03T16:22:29.840870-08:00,34.95,90
5,2026-02-03T22:07:19.110296-08:00,-1,95
1,2026-02-03T22:13:14.288564-08:00,14.49,95
1,2026-02-02T16:34:08.424965-08:00,41.36,85
2,2026-02-02T17:56:50.039634-08:00,31.82,90
3,2026-02-03T21:39:19.716282-08:00,-1,77.73
4,2026-02-03T22:41:01.051319-08:00,13.65,95
1,2026-02-03T16:33:37.284600-08:00,41.2,85
2,2026-02-03T17:17:27.224046-08:00,47.75,0
3,2026-02-03T17:39:11.741449-08:00,47.65,0
4,2026-02-03T21:11:48.841922-08:00,-1,0
5,2026-02-03T21:27:24.375484-08:00,41.42,85
6,2026-02-03T22:08:58.847395-08:00,30.98,90
7,2026-02-03T22:44:12.616157-08:00,13.76,95
1,2026-02-03T22:50:46.396050-08:00,13.87,95
1,2026-02-03T21:36:24.510818-08:00,-1,90
2,2026-02-03T22:50:58.278307-08:00,13.75,95
1,2026-02-03T15:58:20.518014-08:00,128.84,0
2,2026-02-03T17:06:37.975520-08:00,41.35,85
3,2026-02-03T22:55:15.538933-08:00,12.23,95
1,2026-02-03T23:09:57.772029-08:00,14.32,95
1,2026-02-03T17:31:36.952466-08:00,-1,0
2,2026-02-03T22:25:28.304968-08:00,,0
3,2026-02-03T23:11:31.011170-08:00,-1,95
1,2026-02-03T22:11:58.501787-08:00,62.36,0
2,2026-02-03T23:15:53.782178-08:00,12.47,95
3,2026-02-04T08:11:25.372809-08:00,-1,0
4,2026-02-04T09:26:40.895885-08:00,,0
1,2026-02-03T23:15:59.459470-08:00,32.2,90
1,2026-02-03T22:15:19.378782-08:00,19.36,90
2,2026-02-03T23:16:53.082790-08:00,10.88,95
1,2026-02-03T17:46:07.155968-08:00,-1,90
2,2026-02-03T22:19:07.010334-08:00,-1,46.82
3,2026-02-03T23:32:19.213861-08:00,-1,95
1,2026-02-03T19:51:12.023914-08:00,-1,95
2,2026-02-03T23:40:08.284203-08:00,-1,95
1,2026-02-04T00:00:21.873034-08:00,14.88,95
1,2026-02-02T14:18:41.544349-08:00,,60.4545
2,2026-02-02T15:52:38.960018-08:00,31.54,90
3,2026-02-02T16:50:16.683518-08:00,31.54,90
4,2026-02-02T19:49:54.413031-08:00,,0
5,2026-02-02T19:52:28.647714-08:00,,0
6,2026-02-02T21:21:32.741283-08:00,,0
7,2026-02-02T22:22:05.165251-08:00,,0
8,2026-02-02T23:39:09.159474-08:00,,0
9,2026-02-03T11:06:39.623070-08:00,,0
10,2026-02-04T00:00:22.167473-08:00,12.9,95
1,2026-02-04T00:02:49.388904-08:00,35.25,90
1,2026-02-04T00:07:42.398860-08:00,14.59,95
1,2026-02-04T00:23:49.026660-08:00,6.46,95
1,2026-02-04T01:09:05.712171-08:00,14.52,95
1,2026-02-03T17:29:34.046042-08:00,40.75,-10
2,2026-02-03T19:39:37.085428-08:00,37.36,-5
3,2026-02-03T21:30:15.400354-08:00,29.42,-5
4,2026-02-04T00:02:08.072562-08:00,,0
5,2026-02-04T01:23:54.957153-08:00,13.86,95
1,2026-02-03T18:11:53.742591-08:00,-1,90
2,2026-02-03T18:54:41.287118-08:00,-1,-95
3,2026-02-03T19:29:06.723395-08:00,-1,95
4,2026-02-04T01:32:07.689952-08:00,14.97,95
1,2026-02-04T00:29:49.536689-08:00,-1,0
2,2026-02-04T01:51:03.633422-08:00,-1,95
1,2026-02-02T14:51:57.058357-08:00,,0
2,2026-02-04T02:49:54.331791-08:00,36.88,90
1,2026-02-04T04:14:28.231877-08:00,9.62,95
1,2026-02-04T00:55:29.321437-08:00,-1,-95
2,2026-02-04T02:56:00.743307-08:00,-1,0
3,2026-02-04T04:36:38.329954-08:00,30.06,90
1,2026-02-04T06:21:29.092406-08:00,-1,0
2,2026-02-04T08:40:09.720006-08:00,-1,95
1,2026-02-03T15:19:08.047550-08:00,41.37,85
2,2026-02-03T16:17:40.839776-08:00,41.62,85
3,2026-02-04T09:37:01.258751-08:00,41.43,0
4,2026-02-04T09:53:09.971918-08:00,14.86,95
1,2026-02-02T10:20:05.204503-08:00,16.01,90
2,2026-02-04T09:57:12.774036-08:00,-1,95
1,2026-02-03T10:19:30.030760-08:00,-1,-51.82
2,2026-02-04T00:16:45.281949-08:00,-1,0
3,2026-02-04T10:06:03.689933-08:00,-1,90
1,2026-02-04T09:08:56.856095-08:00,8.73,95
2,2026-02-04T10:13:21.145857-08:00,8.65,95
1,2026-02-04T10:16:24.258339-08:00,14.06,95
1,2026-02-03T23:20:57.520198-08:00,-1,-95
2,2026-02-04T01:22:25.402897-08:00,15.34,90
3,2026-02-04T01:32:13.513116-08:00,15.29,90
4,2026-02-04T10:28:37.819759-08:00,15.34,90
5,2026-02-04T17:05:41.043520-08:00,15.33,90
1,2026-02-04T10:39:25.605031-08:00,13.86,95
1,2026-02-04T00:16:31.164640-08:00,16.05,90
2,2026-02-04T10:51:51.552217-08:00,-1,95
1,2026-02-03T19:55:41.218192-08:00,-1,0
2,2026-02-03T20:12:42.912806-08:00,80.88,0
3,2026-02-03T21:08:09.323691-08:00,29.47,46.82
4,2026-02-03T21:14:10.326027-08:00,31.45,90
5,2026-02-03T22:44:53.687175-08:00,19,90
6,2026-02-04T11:09:29.660001-08:00,13.01,95
1,2026-02-04T11:09:50.872121-08:00,-1,95
1,2026-02-04T11:49:46.420864-08:00,14.54,95
1,2026-02-04T02:11:36.044256-08:00,40.86,85
2,2026-02-04T02:27:52.032932-08:00,62.17,0
3,2026-02-04T02:47:48.427025-08:00,,0
4,2026-02-04T03:11:37.320295-08:00,-1,0
5,2026-02-04T03:17:45.555954-08:00,-1,0
6,2026-02-04T03:25:45.365293-08:00,-1,0
7,2026-02-04T11:55:58.756636-08:00,-1,90
1,2026-02-03T12:01:15.384883-08:00,-1,95
2,2026-02-03T19:16:37.041051-08:00,-1,95
3,2026-02-04T12:16:36.890281-08:00,-1,95
1,2026-02-04T01:22:21.735292-08:00,42.3,33.18
2,2026-02-04T12:10:52.432786-08:00,50.66,0
3,2026-02-04T13:14:47.057998-08:00,36.95,90
1,2026-02-04T13:01:25.442426-08:00,,0
2,2026-02-04T13:08:55.595421-08:00,41.89,85
3,2026-02-04T13:18:06.900007-08:00,-1,0
4,2026-02-04T13:33:28.496881-08:00,29.89,90
1,2026-02-04T01:24:52.707541-08:00,14.5,43.18
2,2026-02-04T13:36:21.407747-08:00,14.49,95
1,2026-02-03T15:22:22.688376-08:00,,0
2,2026-02-04T13:21:56.416751-08:00,14.22,51.82
3,2026-02-04T13:38:59.319598-08:00,14.17,95
1,2026-02-03T14:19:19.387883-08:00,41.08,85
2,2026-02-03T23:08:31.624016-08:00,40.71,85
3,2026-02-03T23:30:37.252955-08:00,17.9,90
4,2026-02-04T12:25:33.137322-08:00,19.03,90
5,2026-02-04T12:50:12.573719-08:00,16.52,90
6,2026-02-04T13:49:51.949170-08:00,14.48,95
1,2026-02-04T10:23:59.066658-08:00,24.26,90
2,2026-02-04T13:53:34.545227-08:00,15.31,90
1,2026-02-03T18:32:18.458985-08:00,20.21,90
2,2026-02-04T09:09:46.976198-08:00,,0
3,2026-02-04T14:09:11.713306-08:00,13.69,95
1,2026-02-04T02:45:54.464680-08:00,-1,0
2,2026-02-04T04:20:47.754122-08:00,-1,0
3,2026-02-04T05:24:16.381132-08:00,-1,0
4,2026-02-04T06:04:54.241474-08:00,-1,0
5,2026-02-04T06:20:59.129654-08:00,-1,90
6,2026-02-04T10:59:40.937444-08:00,-1,90
7,2026-02-04T11:16:28.958425-08:00,-1,90
8,2026-02-04T11:31:00.579734-08:00,18.88,90
9,2026-02-04T12:20:20.740842-08:00,-1,90
10,2026-02-04T12:55:07.593828-08:00,-1,90
11,2026-02-04T13:19:28.948152-08:00,-1,95
12,2026-02-04T14:09:45.215673-08:00,-1,95
13,2026-02-04T14:19:45.812143-08:00,-1,95
1,2026-02-02T17:53:52.246128-08:00,18.29,90
2,2026-02-04T14:23:37.871319-08:00,18.18,90
1,2026-02-04T14:32:16.994947-08:00,7.15,95
1,2026-02-04T14:40:19.292982-08:00,18.3,90
1,2026-02-04T10:07:30.629217-08:00,-1,90
2,2026-02-04T14:43:04.993003-08:00,-1,95
1,2026-02-04T14:53:42.836155-08:00,14.51,95
1,2026-02-04T14:57:40.775744-08:00,14.58,95
1,2026-02-04T15:11:09.281035-08:00,41.34,85
2,2026-02-04T19:01:09.210945-08:00,,0
3,2026-02-04T19:08:26.466234-08:00,,0
4,2026-02-04T19:16:51.726717-08:00,,0
5,2026-02-04T20:00:29.273496-08:00,-1,0
6,2026-02-04T21:02:10.938156-08:00,-1,0
1,2026-02-02T21:55:32.751901-08:00,,77.7273
2,2026-02-02T22:26:59.826748-08:00,,77.7273
3,2026-02-02T22:37:09.222718-08:00,,77.7273
4,2026-02-02T23:07:22.710098-08:00,,77.7273
5,2026-02-02T23:39:36.802538-08:00,,77.7273
6,2026-02-03T11:23:20.678864-08:00,29.01,90
7,2026-02-04T00:29:05.909063-08:00,16.4,90
8,2026-02-04T15:12:59.862238-08:00,12.47,95
1,2026-02-02T22:02:44.571605-08:00,12.58,95
2,2026-02-04T15:13:18.628582-08:00,-1,95
1,2026-02-04T15:17:59.804433-08:00,14.55,95
1,2026-02-04T15:30:21.836393-08:00,-1,95
1,2026-02-04T14:40:42.166795-08:00,41.9,85
2,2026-02-04T14:58:16.116341-08:00,41.89,85
3,2026-02-04T15:38:11.786999-08:00,14.52,95
1,2026-02-04T15:50:37.607063-08:00,16.05,90
1,2026-02-03T15:03:14.113641-08:00,43.3,-43.18
2,2026-02-03T15:16:40.796659-08:00,43.22,0
3,2026-02-03T15:46:13.015374-08:00,40.64,7.27
4,2026-02-03T15:55:42.405398-08:00,40.64,7.27
5,2026-02-03T20:24:59.969403-08:00,42.72,85
6,2026-02-03T22:31:56.274545-08:00,14.87,95
7,2026-02-04T15:36:40.540212-08:00,43.19,0
8,2026-02-04T15:55:38.476696-08:00,14.91,95
1,2026-02-04T15:03:07.589947-08:00,61.04,0
2,2026-02-04T15:56:33.442231-08:00,14.55,95
1,2026-02-04T01:42:24.046494-08:00,,0
2,2026-02-04T02:22:30.237108-08:00,25.31,90
3,2026-02-04T03:55:23.402604-08:00,14.71,51.82
4,2026-02-04T10:52:01.477610-08:00,15.09,90
5,2026-02-04T11:03:14.392095-08:00,15.14,90
6,2026-02-04T14:59:00.257418-08:00,,0
7,2026-02-04T16:04:45.947865-08:00,13.9,95
1,2026-02-04T16:08:44.808597-08:00,14.47,95
1,2026-02-04T10:46:02.092302-08:00,-1,85
2,2026-02-04T10:54:36.287637-08:00,-1,0
3,2026-02-04T11:04:43.194383-08:00,-1,90
4,2026-02-04T11:41:31.881982-08:00,-1,90
5,2026-02-04T11:48:53.228976-08:00,-1,20.91
6,2026-02-04T11:58:43.094024-08:00,-1,90
7,2026-02-04T14:06:53.065202-08:00,-1,51.82
8,2026-02-04T14:16:04.660523-08:00,-1,51.82
9,2026-02-04T15:24:45.944525-08:00,41.37,85
10,2026-02-04T15:41:09.107109-08:00,16.64,90
11,2026-02-04T15:51:03.948438-08:00,-1,90
12,2026-02-04T15:58:17.091168-08:00,17.1,20.91
13,2026-02-04T16:07:45.535364-08:00,15.73,12.27
14,2026-02-04T16:18:10.102836-08:00,14.48,95
1,2026-02-04T16:29:24.514500-08:00,35.74,90
2,2026-02-04T23:03:07.354901-08:00,-1,0
1,2026-02-04T16:34:25.907534-08:00,18.68,90
1,2026-02-03T18:46:32.504676-08:00,-1,-95
2,2026-02-03T22:54:44.279268-08:00,,0
3,2026-02-04T00:17:58.619598-08:00,,0
4,2026-02-04T00:44:15.828929-08:00,20.23,90
5,2026-02-04T16:35:14.204298-08:00,18.5,90
1,2026-02-02T21:07:41.364612-08:00,,0
2,2026-02-03T11:59:58.933490-08:00,-1,-95
3,2026-02-03T15:38:51.998335-08:00,-1,-95
4,2026-02-03T16:41:48.520051-08:00,13.54,17.27
5,2026-02-03T20:41:11.182849-08:00,12.4,17.27
6,2026-02-03T23:59:38.422381-08:00,13.34,17.27
7,2026-02-04T13:52:33.360413-08:00,,0
8,2026-02-04T15:30:41.536649-08:00,13.49,17.27
9,2026-02-04T16:36:57.551757-08:00,14.33,95
1,2026-02-04T16:42:46.158146-08:00,12.87,95
